sample	fws
Sample5024820	0.441
Sample5024823	0.948
Sample5024830	0.686
Sample5024831	0.829
Sample5024833	0.405
Sample5024834	0.673
Sample5024835	0.654
Sample5024838	0.995
Sample5024839	0.88
Sample5024845	0.818
Sample5024882	0.976
Sample5024884	0.567
Sample5024937	0.923
Sample5024943	0.996
Sample5024946	0.882
Sample5024964	0.991
Sample5024981	0.507
Sample5024986	0.978
Sample5024988	0.652
Sample5024992	0.462
Sample5024996	0.893
Sample5025065	0.515
Sample5025076	0.463
Sample5025089	0.779
Sample5025095	0.824
Sample5025098	0.993
Sample5025114	0.928
Sample5025116	0.993
Sample5025117	0.364
Sample5025118	0.331
Sample5025119	0.761
Sample5025122	0.706
Sample5025123	0.856
Sample5025125	0.602
Sample5025199	0.991
Sample5025217	0.953
Sample5025257	0.479
Sample5025261	0.357
Sample5025262	0.487
Sample5025263	0.431
Sample5025264	0.59
Sample5025266	0.668
Sample5025268	0.995
Sample5025289	0.963
Sample5025291	0.947
Sample5025334	0.906
Sample5025335	0.93
Sample5025338	0.796
Sample5025396	0.819
Sample5025398	0.634
Sample5025414	0.911
Sample5025468	0.994
Sample5025499	0.403
Sample5025503	0.908
Sample5025504	0.987
Sample5025542	0.914
Sample5025548	0.823
Sample5025617	0.875
Sample5025643	0.553
Sample5025644	0.973
Sample5025654	0.624
Sample5025684	0.389
Sample5025727	0.853
Sample5025747	0.991
Sample5025753	0.792
Sample5025773	0.991
Sample5025776	0.946
Sample5025782	0.613
Sample5025822	0.989
Sample5025909	0.383
Sample5025918	0.984
Sample5025922	0.912
Sample5025923	0.94
Sample5025924	0.994
Sample5025929	0.993
Sample5025930	0.808
Sample5025941	0.723
Sample5025942	0.5
Sample5025953	0.659
Sample5025954	0.358
Sample5025957	0.992
Sample5025958	0.441
Sample5025960	0.9
Sample5025964	0.521
Sample5025967	0.824
Sample5025973	0.647
Sample5025982	0.989
Sample5026004	0.989
Sample5026029	0.918
Sample5026031	0.635
Sample5026032	0.408
Sample5026054	0.471
Sample5026097	0.992
Sample5026133	0.794
Sample5026134	0.327
Sample5026142	0.675
Sample5026147	0.757
